failing_citekey	replacement_key	comment
lubisIndonesiaPublic2018		
		
SummaryUnion2023		
NationalPolicy2012	indiaNationalPolicyIT2012	there  are 2 national policies(it and edu)
InformationTechnology2009		
ogddivisionnicImplementationGuidelines2015		
NationalPolicy2019	indiaNationalPolicySoftware2019	only name of 1 author is mentioned
		
parkSouthKoreaData2021	parkSouthKorea2021	do we need to mention name of 1 author only?
		
gunatillekeRightsbasedApproachLimitation2016	gunatillekeRightsbasedApproach2016	Haven't the LK interns already done most of LK in the other sheet ("Sheet1")?
MohamedRazikMohamed2023	MohamedRazik2023	Don't repeat their work. Focus on PH, PK, and TH.
lboOnlineSafetyAct2024		
parliamentofthedemocraticsocialistrepublicofsrilankaComputerInformationTechnology1984		
InformationCommunicationTechnology		
parliamentofthedemocraticsocialistrepublicofsrilankaInformationCommunicationTechnology2003		
InformationCommunicationTechnology2003		
ElectronicTransactions2006		
ElectronicTransactionsAct2017		
policyreviewcommitteeEgovernmentPolicyDraft2014		
InformationCommunicationTechnologya		
fig-national-policy-framework		
PolicyInformationCommunication		
fernandoNewDigitalTransformation2024		
RightInformationAct2016		
NationalArchivesLaw1973		
DraftNational2023		
PublicAccessGovernment1980		
FrameworkNationalArchives2024		
Department		
SurveyActEnglish2002		
GoogleMapsLaunches2014		
SriLankaOpenStreetMap		
surveydepartmentofsrilankaDepartmentSurveyRegulations2020		
DepartmentCensusStatisticsb		
DepartmentCensusStatistics		
CreditInformationBureau1990		
CRIBScoreReports		
CorruptionAct2023		
fig-digital-government-architecture		
NationalDigitalGovernment		
12PrinciplesGood		
TableRTICDecisions2020		
informationandcommunicationtechnologyofsrilankaictaSriLanka2023		
OpenDataPortal		
LankaSignCertificationService		
informationandcommunicationtechnologyofsrilankaictaSriLanka2022		
presidentialsecretariatStrategicApproachDigitize2024		
OnlineRegisteredVehicle		
PaymentSettlementSystems2020		
PaymentSettlementSystems2018		
DigitalIDLaunch		
ictaPublicConsultationCall		
DraftRevisedCloud2025		
govpayPayTrafficFines		
InformationCommunicationTechnologyc		
InvitationProvideInput2023		
StakeholderConsultationSri		
fig-digital-economy-strategy		
InformationCommunicationTechnologyb		
DialogAxiataMIT		
samarajivaDigitalisationWillFail24		
NationalAIStrategy2024		
OnlineSafetyAct2024a		
OnlineSafetyAct2024		
RaisaWickrematungaTelecommunications2018		
AICWarnsSri2023		
SriLankaProposed2023		
sooriyagodaSpeakersActCertifying2024		
