Marker	Footnote Content	Proposed Citekey	Pinpoint	Confidence
[^77]	,PWC,‘Nepal E-Government Interoperability framework-Main Report’, available at “https://nitc.gov.np/assets/img/fileSystem/download/23-07-27-125812-NeGIF%20Main%20Report%20v2.0%20new.pdf” (last accessed on 7th October, 2023\)	@HttpsRtigovpk		40
[^78]	“PDF,” n.d.			0
[^79]	Nepal QR Standardization Framework and Guidelines, 2020, available at “https://www.nrb.org.np/contents/uploads/2021/01/QR-Code-Guidelines-and-Framework-and-Specifications.pdf” (last accessed on 5th October, 2023\)	@HttpsRtigovpk		40
[^80]	“PDF,” n.d.			0
[^81]	Rule 4.11(7), Nepal QR Standardization Framework and Guidelines, 2020	@RuleLaw2021	Rule 4.11	40
[^82]	Rule 4.12, Nepal QR Standardization Framework and Guidelines, 2020	@RuleLaw2021	Rule 4.12	40
[^83]	Rule 4.9, Nepal QR Standardization Framework and Guidelines, 2020	@RuleLaw2021	Rule 4.9	40
[^84]	Section 2 (c), Nagarik App (Operation and Management) Directive, 2078 (2021)	@NagarikApp	Section 2	70
[^85]	Section 3, Nagarik App (Operation and Management) Directive, 2078 (2021)	@NagarikApp	Section 3	70
[^86]	available at “https://www.nrb.org.np/contents/uploads/2023/02/Unified-Directives-2079-Magh-published.pdf“ (last accessed on 3rd October, 2023\)	@nepalUnifiedDirectives20792023		45
[^87]	available at “https://www.nrb.org.np/contents/uploads/2023/01/PSD\_unified-Directive-2079\_Letter-combined.pdf” (last accessed on 3rd October, 2023\)	@HttpsRtigovpk		40
[^88]	available at “https://www.nrb.org.np/contents/uploads/2023/04/FXMD-Circular-18\_2079.80\_Unified-Circular-2079.pdf“ (last accessed on 3rd October, 2023\)	@HttpsRtigovpk		40
[^89]	Article 28, Constitution of Nepal, 2072 (2015)	@nepalConstitutionNepal2015		70
[^90]	“PDF,” n.d.			0
[^91]	Section 20, National Civil (Code) Act, 2074 (2017)	@NationalCivil2017	Section 20	40
[^92]	“PDF,” n.d.			0
[^93]	Section 21, National Civil (Code) Act, 2074 (2017)	@NationalCivil2017	Section 21	40
